Konto,Bezeichnung,Bilanzposten,GuV Posten,XBRL Taxonomie
00000,Guv Konto,,,
0670,Geringwertige Wirtschaftsgüter,II. Sachanlagen,,bs.ass.fixAss.tan.otherEquipm.gwg
0690,Sonstige Betriebs- und Geschäftsausstattung,II. Sachanlagen,,bs.ass.fixAss.tan.otherEquipm.office
0900,Wertpapiere des Anlagevermögens,III. Finanzanlagen,,bs.ass.fixAss.fin.securities.shares
10000,Bank A,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
10001,Kunde A,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
10002,Kunde B,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
10003,Kunde C,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
10004,Finanzamt,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
1200,Forderungen aus Lieferungen und Leistungen,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.trade.other
1298,"Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert",,,bs.ass.currAss.receiv.unpaidCapital
1401,Abziehbare Vorsteuer 7 %,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.vat
1406,Abziehbare Vorsteuer 19 %,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.vat
1407,Abziehbare Vorsteuer nach § 13b UStG 19 %,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.vat
1420,Forderungen aus Umsatzsteuervorauszahlungen,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.vat
1435,Forderungen aus Gewerbesteuerüberzahlungen,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.tradeTaxOverpayment
1450,Körperschaftsteuerrückforderung,II. Forderungen und sonstige Vermögensgegenstände,,bs.ass.currAss.receiv.other.corpTaxOverpayment
1800,Bank,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1810,Bankkonto Bank B DE12 3456 7890 1234 5678 01,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1811,Bankkonto (Steuerrückstellungen) Bank B DE12 3456 7890 1234 5678 02,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1820,Bankkonto Bank A DE12 3456 7890 1234 5678 03,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1821,Bankkonto (Steuerrückstellungen) Bank A DE12 3456 7890 1234 5678 04,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1830,Bankkonto (Investments) Bank C DE12 3456 7890 1234 5678 05,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1840,Bankkonto Bank A DE12 3456 7890 1234 5678 06,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
1841,Bankkonto (Steuerrückstellungen) Bank A DE12 3456 7890 1234 5678 07,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks",,bs.ass.currAss.cashEquiv.bank
2900,Gezeichnetes Kapital,I. Gezeichnetes Kapital,,bs.eqLiab.equity.subscribed.corp
2970,Gewinnvortrag vor Verwendung,IV. Gewinnvortrag/Verlustvortrag,,bs.eqLiab.equity.retainedEarnings
3020,Steuerrückstellungen,B. Rückstellungen,,bs.eqLiab.accruals.tax.misc
